77 21 -45 -21 -21 44 -10 11 -13 23  	= 66
71 -30 -10 34 11 -44 13 -34 54 23   	= 88
12 43 -30 -12 45 31 -24 23 -64 41   	= 65
13 43 43 -34 -23 44 11 -63 -11 -11  	= 12
48 -34 31 -21 -13 44 -34 44 -41 44  	= 68
71 24 -60 41 -31 -11 -13 44 30 -33  	= 62
92 -31 28 -47 51 -31 -10 13 -34 -10 	= 21
25 -13 82 -53 48 10 -14 -44 -20 -10 	= 11
56 -43 15 41 -32 -14 63 -42 33 22   	= 99
14 44 40 -74 30 32 10 -42 -32 -11   	= 11
85 -41 11 3 -43 -3 80 4 -33 12      	= 75
61 49 306 694 865                   	= 1975
65 -34 -20 99 7                     	= 117
48 -14 -11 87 2                     	= 112
53 -2 5 41 2 -67 -11 6 -10 31       	= 48
59 -4 44 -32 1 -6 6 -2 21 -30       	= 57
39 -24 32 -10 51 -66 52 5 10 -51    	= 38
